Negotiation_ID,Product_Name,Listed_Price,Offered_Price,Final_Price,Discount_%,Buyer_Message,Seller_Message,Sentiment,Outcome
NEG0016,Plumbing,2938.0,2505.0,2505.0,14.74,Can you please lower the price a bit?,"Alright, let’s meet halfway.",Positive,Accepted
NEG0017,Jacket,1777.0,1400.0,1400.0,21.22,Is there any discount if I buy more?,"Price firm, can’t reduce further.",Negative,Accepted
NEG0018,Tutoring,9982.0,7028.0,7089.0,28.98,"I’m a regular customer, please give a better deal.","Alright, let’s meet halfway.",Positive,Accepted
NEG0019,Belt,5710.0,3037.0,3037.0,46.81,Is there any discount if I buy more?,"Alright, let’s meet halfway.",Negative,Accepted
NEG0020,Jeans,2377.0,1659.0,2124.0,10.64,"I’m a regular customer, please give a better deal.","If you buy more, I can give a small discount.",Neutral,Rejected
NEG0021,Belt,1064.0,633.0,946.0,11.09,Can you please lower the price a bit?,"Sorry, the price is already discounted.",Negative,Rejected
NEG0022,Cleaning Service,2196.0,1208.0,1413.0,35.66,Can you make it a round number?,This is the best price I can offer.,Neutral,Accepted
NEG0023,Home Painting,9445.0,6637.0,6637.0,29.73,"If I pay in cash, can I get a discount?","Alright, let’s meet halfway.",Negative,Accepted
NEG0024,Table,9978.0,6181.0,6181.0,38.05,"If I pay in cash, can I get a discount?","Price firm, can’t reduce further.",Neutral,Accepted
NEG0025,Cleaning Service,3166.0,2164.0,2164.0,31.65,Can you make it a round number?,This is the best price I can offer.,Neutral,Accepted
NEG0026,Tutoring,9163.0,4599.0,6679.0,27.11,"That's too expensive, I can pay less.",This is the best price I can offer.,Neutral,Accepted
NEG0027,Jeans,8005.0,4033.0,4033.0,49.62,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0028,Tutoring,1320.0,1236.0,1236.0,6.36,"That's too expensive, I can pay less.","Alright, let’s meet halfway.",Positive,Accepted
NEG0029,Plumbing,8738.0,6971.0,7422.0,15.06,Can you please lower the price a bit?,"If you buy more, I can give a small discount.",Neutral,Pending
NEG0030,Jacket,9889.0,6110.0,6110.0,38.21,Can you make it a round number?,"Okay, I can reduce a little for you.",Positive,Accepted
NEG0031,Table,9694.0,7501.0,7501.0,22.62,Can you please lower the price a bit?,"Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0032,Home Painting,2061.0,1265.0,1300.0,36.92,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Neutral,Rejected
NEG0033,Chair,6032.0,3596.0,3673.0,39.11,Is there any discount if I buy more?,This is the best price I can offer.,Negative,Accepted
NEG0034,Saree,2677.0,2375.0,2375.0,11.28,"Your price seems high, can we settle in between?","Okay, I can reduce a little for you.",Negative,Accepted
NEG0035,Bag,2892.0,2212.0,2345.0,18.91,"If I pay in cash, can I get a discount?","Sorry, the price is already discounted.",Negative,Accepted
NEG0036,Jacket,3877.0,3543.0,3731.0,3.77,"That's too expensive, I can pay less.","Okay, I can reduce a little for you.",Positive,Accepted
NEG0037,Home Painting,9599.0,8769.0,8769.0,8.65,Is there any discount if I buy more?,"Alright, let’s meet halfway.",Positive,Accepted
NEG0038,Bed,7292.0,6902.0,7216.0,1.04,Can you make it a round number?,"If you buy more, I can give a small discount.",Negative,Pending
NEG0039,Catering,4106.0,3701.0,3918.0,4.58,"If I pay in cash, can I get a discount?","Okay deal, I’ll accept that price.",Positive,Rejected
NEG0040,Sofa,3138.0,1720.0,1810.0,42.32,Can you please lower the price a bit?,"Okay deal, I’ll accept that price.",Negative,Pending
NEG0041,Cleaning Service,8865.0,7533.0,7907.0,10.81,"That's too expensive, I can pay less.",This is the best price I can offer.,Positive,Accepted
NEG0042,Cupboard,3896.0,3149.0,3149.0,19.17,"Your price seems high, can we settle in between?","Sorry, the price is already discounted.",Positive,Accepted
NEG0043,Plumbing,3880.0,1946.0,1946.0,49.85,Is there any discount if I buy more?,"Okay deal, I’ll accept that price.",Positive,Accepted
NEG0044,Cleaning Service,7544.0,5043.0,5043.0,33.15,Is there any discount if I buy more?,"Sorry, the price is already discounted.",Neutral,Accepted
NEG0045,Kurta,6392.0,3435.0,5491.0,14.1,Can you please lower the price a bit?,"Okay deal, I’ll accept that price.",Neutral,Pending
NEG0046,Saree,841.0,500.0,500.0,40.55,"Your price seems high, can we settle in between?","Okay, I can reduce a little for you.",Negative,Accepted
NEG0047,Jeans,7815.0,6122.0,6122.0,21.66,Can you make it a round number?,"Okay deal, I’ll accept that price.",Positive,Accepted
NEG0048,Shoes,9032.0,7003.0,7218.0,20.08,Is there any discount if I buy more?,"Okay deal, I’ll accept that price.",Negative,Rejected
NEG0049,Jeans,4645.0,3628.0,4427.0,4.69,"That's too expensive, I can pay less.","Sorry, the price is already discounted.",Negative,Accepted
NEG0050,Chair,1185.0,607.0,607.0,48.78,Can you make it a round number?,"Alright, let’s meet halfway.",Positive,Accepted
NEG0051,Sofa,4399.0,3708.0,3708.0,15.71,Can you please lower the price a bit?,"Alright, let’s meet halfway.",Neutral,Accepted
NEG0052,Bag,9559.0,8013.0,8724.0,8.74,"I’m a regular customer, please give a better deal.","Alright, let’s meet halfway.",Neutral,Pending
NEG0053,Cleaning Service,6842.0,4554.0,4554.0,33.44,"That's too expensive, I can pay less.",This is the best price I can offer.,Neutral,Accepted
NEG0054,Belt,4267.0,2817.0,2854.0,33.11,"If I pay in cash, can I get a discount?","Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0055,Watch,720.0,610.0,690.0,4.17,Is there any discount if I buy more?,"Okay, I can reduce a little for you.",Negative,Accepted
NEG0056,Chair,7120.0,3654.0,4834.0,32.11,"Your price seems high, can we settle in between?","Price firm, can’t reduce further.",Negative,Rejected
NEG0057,Shoes,4322.0,2202.0,3887.0,10.06,"Your price seems high, can we settle in between?","Okay, I can reduce a little for you.",Positive,Rejected
NEG0058,Kurta,2609.0,1868.0,1868.0,28.4,Is there any discount if I buy more?,"Sorry, the price is already discounted.",Positive,Accepted
NEG0059,Kurta,4239.0,3567.0,3567.0,15.85,"I’m a regular customer, please give a better deal.",This is the best price I can offer.,Positive,Accepted
NEG0060,Cupboard,9618.0,7955.0,7955.0,17.29,"If I pay in cash, can I get a discount?","If you buy more, I can give a small discount.",Positive,Accepted
NEG0061,Bed,9713.0,9137.0,9450.0,2.71,"That's too expensive, I can pay less.","Sorry, the price is already discounted.",Positive,Pending
NEG0062,Kurta,7195.0,5578.0,5578.0,22.47,"That's too expensive, I can pay less.",This is the best price I can offer.,Neutral,Accepted
NEG0063,Plumbing,7006.0,5547.0,6241.0,10.92,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Positive,Pending
NEG0064,Bag,3043.0,2628.0,2780.0,8.64,Can you please lower the price a bit?,"If you buy more, I can give a small discount.",Positive,Rejected
NEG0065,Home Painting,1172.0,593.0,911.0,22.27,Can you make it a round number?,"If you buy more, I can give a small discount.",Positive,Rejected
NEG0066,Table,9138.0,5959.0,7024.0,23.13,"Your price seems high, can we settle in between?","If you buy more, I can give a small discount.",Neutral,Rejected
NEG0067,Plumbing,1116.0,797.0,1057.0,5.29,Can you please lower the price a bit?,"If you buy more, I can give a small discount.",Positive,Rejected
NEG0068,Sofa,8925.0,6847.0,8150.0,8.68,Can you make it a round number?,"If you buy more, I can give a small discount.",Negative,Pending
NEG0069,Cleaning Service,8378.0,5460.0,5460.0,34.83,Can you please lower the price a bit?,"Alright, let’s meet halfway.",Negative,Accepted
NEG0070,Plumbing,1388.0,1135.0,1135.0,18.23,Can you make it a round number?,"Sorry, the price is already discounted.",Negative,Accepted
NEG0071,Table,6885.0,4791.0,6662.0,3.24,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Positive,Accepted
NEG0072,Bed,3919.0,2065.0,2065.0,47.31,"I’m a regular customer, please give a better deal.","Sorry, the price is already discounted.",Neutral,Accepted
NEG0073,Shoes,7085.0,3870.0,3870.0,45.38,Is there any discount if I buy more?,"Sorry, the price is already discounted.",Positive,Accepted
NEG0074,Home Painting,7243.0,6715.0,6854.0,5.37,"If I pay in cash, can I get a discount?","Sorry, the price is already discounted.",Neutral,Pending
NEG0075,Kurta,872.0,570.0,570.0,34.63,"If I pay in cash, can I get a discount?","Okay deal, I’ll accept that price.",Negative,Accepted
NEG0076,Cupboard,7307.0,4085.0,4085.0,44.09,Can you please lower the price a bit?,"Alright, let’s meet halfway.",Positive,Accepted
NEG0077,Cleaning Service,3761.0,2988.0,3208.0,14.7,"If I pay in cash, can I get a discount?","If you buy more, I can give a small discount.",Negative,Accepted
NEG0078,Catering,2012.0,1371.0,1965.0,2.34,"I’m a regular customer, please give a better deal.","Okay deal, I’ll accept that price.",Positive,Accepted
NEG0079,Cupboard,1892.0,1658.0,1683.0,11.05,"If I pay in cash, can I get a discount?","Okay, I can reduce a little for you.",Negative,Rejected
NEG0080,Home Painting,3499.0,2323.0,2369.0,32.29,Can you make it a round number?,"Okay, I can reduce a little for you.",Negative,Accepted
NEG0081,Catering,3329.0,2175.0,3032.0,8.92,Can you make it a round number?,"Sorry, the price is already discounted.",Positive,Pending
NEG0082,Tutoring,1559.0,1261.0,1518.0,2.63,"If I pay in cash, can I get a discount?","Price firm, can’t reduce further.",Positive,Rejected
NEG0083,Saree,3200.0,1786.0,2769.0,13.47,Can you please lower the price a bit?,"Price firm, can’t reduce further.",Positive,Pending
NEG0084,Cupboard,9328.0,8425.0,8425.0,9.68,Is there any discount if I buy more?,This is the best price I can offer.,Neutral,Accepted
NEG0085,Jeans,3542.0,2169.0,3157.0,10.87,Is there any discount if I buy more?,This is the best price I can offer.,Positive,Pending
NEG0086,Home Painting,6290.0,3851.0,4433.0,29.52,Is there any discount if I buy more?,"Alright, let’s meet halfway.",Negative,Accepted
NEG0087,Home Painting,1694.0,1496.0,1496.0,11.69,Can you make it a round number?,"If you buy more, I can give a small discount.",Positive,Accepted
NEG0088,Sofa,4319.0,3757.0,3757.0,13.01,Can you make it a round number?,"If you buy more, I can give a small discount.",Negative,Accepted
NEG0089,Home Painting,9847.0,6561.0,8730.0,11.34,"Your price seems high, can we settle in between?","Alright, let’s meet halfway.",Neutral,Rejected
NEG0090,Kurta,3826.0,3560.0,3598.0,5.96,Is there any discount if I buy more?,"Okay, I can reduce a little for you.",Negative,Accepted
NEG0091,Bed,2209.0,1538.0,1538.0,30.38,"Your price seems high, can we settle in between?","Sorry, the price is already discounted.",Negative,Accepted
NEG0092,Cleaning Service,5586.0,3018.0,4942.0,11.53,Can you make it a round number?,"Price firm, can’t reduce further.",Positive,Rejected
NEG0093,Cleaning Service,9354.0,6389.0,8662.0,7.4,"If I pay in cash, can I get a discount?","Price firm, can’t reduce further.",Positive,Accepted
NEG0094,Tutoring,3788.0,2552.0,3645.0,3.78,"That's too expensive, I can pay less.","Alright, let’s meet halfway.",Positive,Rejected
NEG0095,Sunglasses,1695.0,1263.0,1623.0,4.25,"Your price seems high, can we settle in between?","Okay deal, I’ll accept that price.",Negative,Rejected
NEG0096,Belt,9757.0,9042.0,9042.0,7.33,"Your price seems high, can we settle in between?","Okay deal, I’ll accept that price.",Positive,Accepted
NEG0097,Bag,5742.0,3752.0,4693.0,18.27,"I’m a regular customer, please give a better deal.","Okay, I can reduce a little for you.",Negative,Accepted
NEG0098,Jacket,4131.0,3395.0,3547.0,14.14,Can you please lower the price a bit?,"Price firm, can’t reduce further.",Negative,Accepted
NEG0099,Catering,1759.0,1026.0,1250.0,28.94,"If I pay in cash, can I get a discount?","Okay, I can reduce a little for you.",Negative,Rejected
NEG0100,Sofa,4330.0,2633.0,2633.0,39.19,Is there any discount if I buy more?,"Price firm, can’t reduce further.",Negative,Accepted
NEG0101,Cleaning Service,4328.0,2456.0,3196.0,26.16,"If I pay in cash, can I get a discount?",This is the best price I can offer.,Positive,Accepted
NEG0102,Home Painting,7135.0,4254.0,4254.0,40.38,"That's too expensive, I can pay less.","Okay, I can reduce a little for you.",Neutral,Accepted
NEG0103,Jeans,2209.0,1886.0,1886.0,14.62,"I’m a regular customer, please give a better deal.","Price firm, can’t reduce further.",Negative,Accepted
NEG0104,Sofa,5508.0,3859.0,3859.0,29.94,"Your price seems high, can we settle in between?","Price firm, can’t reduce further.",Positive,Accepted
NEG0105,Cupboard,8601.0,7363.0,7363.0,14.39,Can you make it a round number?,"Alright, let’s meet halfway.",Positive,Accepted
NEG0106,Home Painting,5674.0,3097.0,3573.0,37.03,Can you make it a round number?,"Price firm, can’t reduce further.",Positive,Pending
NEG0107,Belt,6386.0,4070.0,4446.0,30.38,"I’m a regular customer, please give a better deal.","Alright, let’s meet halfway.",Negative,Rejected
NEG0108,Kurta,2180.0,1122.0,1545.0,29.13,"If I pay in cash, can I get a discount?","Alright, let’s meet halfway.",Neutral,Accepted
NEG0109,Shoes,9414.0,6920.0,8558.0,9.09,"Your price seems high, can we settle in between?","Okay, I can reduce a little for you.",Negative,Pending
NEG0110,Cleaning Service,9242.0,4719.0,4719.0,48.94,"I’m a regular customer, please give a better deal.","Price firm, can’t reduce further.",Positive,Accepted
NEG0111,Jacket,4624.0,3038.0,3038.0,34.3,"I’m a regular customer, please give a better deal.","Price firm, can’t reduce further.",Neutral,Accepted
NEG0112,Jeans,4825.0,4422.0,4422.0,8.35,"That's too expensive, I can pay less.","Okay, I can reduce a little for you.",Negative,Accepted
NEG0113,Bed,1605.0,1023.0,1023.0,36.26,Can you make it a round number?,"Alright, let’s meet halfway.",Positive,Accepted
NEG0114,Chair,9472.0,8783.0,8783.0,7.27,Can you please lower the price a bit?,"Alright, let’s meet halfway.",Negative,Accepted
NEG0115,Saree,848.0,641.0,641.0,24.41,Can you please lower the price a bit?,"Price firm, can’t reduce further.",Negative,Accepted
NEG0116,Home Painting,3824.0,2232.0,2894.0,24.32,Can you make it a round number?,"Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0117,Belt,6799.0,4176.0,4176.0,38.58,Can you make it a round number?,This is the best price I can offer.,Negative,Accepted
NEG0118,Bag,5419.0,4804.0,4804.0,11.35,"That's too expensive, I can pay less.","Okay, I can reduce a little for you.",Negative,Accepted
NEG0119,Cupboard,9858.0,8913.0,9196.0,6.72,"Your price seems high, can we settle in between?","Okay, I can reduce a little for you.",Neutral,Rejected
NEG0120,Sunglasses,4119.0,2516.0,2977.0,27.73,Can you please lower the price a bit?,"Okay, I can reduce a little for you.",Positive,Rejected
NEG0121,Jeans,5725.0,5127.0,5127.0,10.45,Can you please lower the price a bit?,"If you buy more, I can give a small discount.",Positive,Accepted
NEG0122,Saree,9248.0,6908.0,6908.0,25.3,"Your price seems high, can we settle in between?",This is the best price I can offer.,Positive,Accepted
NEG0123,Watch,4215.0,2382.0,2382.0,43.49,"Your price seems high, can we settle in between?","If you buy more, I can give a small discount.",Positive,Accepted
NEG0124,Watch,1534.0,1391.0,1391.0,9.32,"Your price seems high, can we settle in between?",This is the best price I can offer.,Negative,Accepted
NEG0125,Bag,2528.0,2111.0,2246.0,11.16,Can you make it a round number?,"Price firm, can’t reduce further.",Neutral,Accepted
NEG0126,Belt,2426.0,1647.0,1940.0,20.03,Can you please lower the price a bit?,"Sorry, the price is already discounted.",Neutral,Accepted
NEG0127,Shoes,7297.0,5173.0,5173.0,29.11,"If I pay in cash, can I get a discount?","Alright, let’s meet halfway.",Negative,Accepted
NEG0128,Bag,2041.0,1457.0,1632.0,20.04,"Your price seems high, can we settle in between?","Alright, let’s meet halfway.",Positive,Pending
NEG0129,Cleaning Service,3951.0,2811.0,3858.0,2.35,"Your price seems high, can we settle in between?","Price firm, can’t reduce further.",Neutral,Rejected
NEG0130,Home Painting,1807.0,1022.0,1674.0,7.36,"If I pay in cash, can I get a discount?","Price firm, can’t reduce further.",Positive,Accepted
NEG0131,Watch,8105.0,6994.0,6994.0,13.71,"Your price seems high, can we settle in between?","Price firm, can’t reduce further.",Neutral,Accepted
NEG0132,Cleaning Service,7350.0,5829.0,5829.0,20.69,"I’m a regular customer, please give a better deal.",This is the best price I can offer.,Positive,Accepted
NEG0133,Cupboard,8763.0,7037.0,8752.0,0.13,Can you please lower the price a bit?,"Okay deal, I’ll accept that price.",Negative,Pending
NEG0134,Bed,3551.0,2581.0,2581.0,27.32,Can you make it a round number?,This is the best price I can offer.,Negative,Accepted
NEG0135,Cupboard,8018.0,6751.0,6751.0,15.8,"I’m a regular customer, please give a better deal.","Alright, let’s meet halfway.",Neutral,Accepted
NEG0136,T-shirt,1342.0,740.0,1045.0,22.13,"I’m a regular customer, please give a better deal.","Sorry, the price is already discounted.",Negative,Accepted
NEG0137,Belt,813.0,691.0,691.0,15.01,Can you make it a round number?,"If you buy more, I can give a small discount.",Neutral,Accepted
NEG0138,Belt,617.0,436.0,463.0,24.96,"Your price seems high, can we settle in between?","Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0139,Jeans,5569.0,4652.0,4652.0,16.47,Can you make it a round number?,"If you buy more, I can give a small discount.",Positive,Accepted
NEG0140,Bag,7051.0,4862.0,6056.0,14.11,"If I pay in cash, can I get a discount?","Okay, I can reduce a little for you.",Negative,Accepted
NEG0141,Sofa,3779.0,2475.0,2475.0,34.51,"I’m a regular customer, please give a better deal.","Price firm, can’t reduce further.",Positive,Accepted
NEG0142,T-shirt,5129.0,4369.0,4369.0,14.82,"Your price seems high, can we settle in between?","Sorry, the price is already discounted.",Negative,Accepted
NEG0143,Bed,3884.0,3397.0,3789.0,2.45,"I’m a regular customer, please give a better deal.","Alright, let’s meet halfway.",Positive,Accepted
NEG0144,Belt,8414.0,7465.0,7465.0,11.28,"That's too expensive, I can pay less.",This is the best price I can offer.,Positive,Accepted
NEG0145,Cleaning Service,6330.0,4507.0,4507.0,28.8,Can you please lower the price a bit?,This is the best price I can offer.,Negative,Accepted
NEG0146,Watch,5932.0,4606.0,4606.0,22.35,"That's too expensive, I can pay less.","If you buy more, I can give a small discount.",Positive,Accepted
NEG0147,Table,6704.0,5161.0,5161.0,23.02,Is there any discount if I buy more?,"Sorry, the price is already discounted.",Positive,Accepted
NEG0148,Jeans,8518.0,6801.0,6801.0,20.16,"If I pay in cash, can I get a discount?","Okay, I can reduce a little for you.",Positive,Accepted
NEG0149,Cupboard,8374.0,6365.0,6365.0,23.99,Can you please lower the price a bit?,"Price firm, can’t reduce further.",Negative,Accepted
NEG0150,Cleaning Service,7901.0,4033.0,4033.0,48.96,Can you make it a round number?,"Alright, let’s meet halfway.",Neutral,Accepted
NEG0151,Bag,4586.0,2320.0,4268.0,6.93,"Your price seems high, can we settle in between?","Alright, let’s meet halfway.",Positive,Accepted
NEG0152,Bed,2835.0,2581.0,2581.0,8.96,"That's too expensive, I can pay less.",This is the best price I can offer.,Neutral,Accepted
NEG0153,Shoes,2319.0,1793.0,1906.0,17.81,"I’m a regular customer, please give a better deal.","Okay, I can reduce a little for you.",Negative,Rejected
NEG0154,Plumbing,3275.0,2126.0,2981.0,8.98,"Your price seems high, can we settle in between?","Sorry, the price is already discounted.",Neutral,Pending
NEG0155,T-shirt,8430.0,5744.0,5744.0,31.86,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Positive,Accepted
NEG0156,Bed,5113.0,4397.0,4397.0,14.0,Is there any discount if I buy more?,"Okay deal, I’ll accept that price.",Negative,Accepted
NEG0157,Bed,1243.0,1173.0,1173.0,5.63,Is there any discount if I buy more?,"Okay deal, I’ll accept that price.",Negative,Accepted
NEG0158,Sofa,4864.0,3269.0,4179.0,14.08,Can you make it a round number?,"Alright, let’s meet halfway.",Neutral,Accepted
NEG0159,Cupboard,6110.0,5212.0,5212.0,14.7,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Positive,Accepted
NEG0160,Chair,9063.0,7685.0,7685.0,15.2,"I’m a regular customer, please give a better deal.","Alright, let’s meet halfway.",Neutral,Accepted
NEG0161,Shoes,6905.0,5257.0,5257.0,23.87,Is there any discount if I buy more?,"If you buy more, I can give a small discount.",Positive,Accepted
NEG0162,Cleaning Service,2713.0,2405.0,2405.0,11.35,"I’m a regular customer, please give a better deal.","Sorry, the price is already discounted.",Positive,Accepted
NEG0163,Shoes,9823.0,5089.0,6686.0,31.94,Is there any discount if I buy more?,"Price firm, can’t reduce further.",Negative,Rejected
NEG0164,Kurta,1486.0,1258.0,1258.0,15.34,"If I pay in cash, can I get a discount?","Alright, let’s meet halfway.",Positive,Accepted
NEG0165,Cleaning Service,9869.0,8737.0,8737.0,11.47,Can you make it a round number?,"Price firm, can’t reduce further.",Negative,Accepted
NEG0166,Plumbing,8082.0,5573.0,5573.0,31.04,Is there any discount if I buy more?,This is the best price I can offer.,Negative,Accepted
NEG0167,Table,7370.0,5693.0,5693.0,22.75,"If I pay in cash, can I get a discount?","Okay deal, I’ll accept that price.",Negative,Accepted
NEG0168,Tutoring,3189.0,2093.0,2201.0,30.98,Can you make it a round number?,"Okay, I can reduce a little for you.",Neutral,Rejected
NEG0169,Table,1908.0,1484.0,1484.0,22.22,"Your price seems high, can we settle in between?","Okay, I can reduce a little for you.",Neutral,Accepted
NEG0170,T-shirt,6755.0,4429.0,6345.0,6.07,Is there any discount if I buy more?,"Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0171,Cleaning Service,2800.0,1530.0,1530.0,45.36,Can you make it a round number?,"Okay deal, I’ll accept that price.",Positive,Accepted
NEG0172,Jeans,6071.0,5635.0,5635.0,7.18,"That's too expensive, I can pay less.","Alright, let’s meet halfway.",Negative,Accepted
NEG0173,Cleaning Service,3877.0,2085.0,3492.0,9.93,Is there any discount if I buy more?,"If you buy more, I can give a small discount.",Neutral,Accepted
NEG0174,Table,5078.0,4408.0,4408.0,13.19,Can you make it a round number?,"Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0175,Plumbing,7001.0,4617.0,5876.0,16.07,Can you please lower the price a bit?,"If you buy more, I can give a small discount.",Neutral,Pending
NEG0176,Cupboard,7193.0,3933.0,3933.0,45.32,Can you please lower the price a bit?,This is the best price I can offer.,Neutral,Accepted
NEG0177,Sunglasses,4605.0,3243.0,3353.0,27.19,"If I pay in cash, can I get a discount?","Sorry, the price is already discounted.",Positive,Accepted
NEG0178,Watch,2641.0,2373.0,2619.0,0.83,Is there any discount if I buy more?,"Price firm, can’t reduce further.",Neutral,Accepted
NEG0179,Cupboard,9062.0,5928.0,5928.0,34.58,Can you please lower the price a bit?,"If you buy more, I can give a small discount.",Neutral,Accepted
NEG0180,Table,4909.0,4296.0,4296.0,12.49,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0181,Watch,7306.0,5835.0,5835.0,20.13,Can you make it a round number?,"Alright, let’s meet halfway.",Positive,Accepted
NEG0182,Jacket,7659.0,7225.0,7313.0,4.52,"That's too expensive, I can pay less.",This is the best price I can offer.,Positive,Pending
NEG0183,Sunglasses,7773.0,6173.0,6594.0,15.17,"That's too expensive, I can pay less.","Alright, let’s meet halfway.",Neutral,Rejected
NEG0184,Shoes,6792.0,3795.0,3795.0,44.13,Can you please lower the price a bit?,This is the best price I can offer.,Negative,Accepted
NEG0185,Tutoring,7333.0,6417.0,6896.0,5.96,"That's too expensive, I can pay less.","Okay, I can reduce a little for you.",Positive,Rejected
NEG0186,Table,6658.0,3662.0,6250.0,6.13,Is there any discount if I buy more?,"Okay deal, I’ll accept that price.",Neutral,Rejected
NEG0187,Cleaning Service,2792.0,1907.0,2185.0,21.74,Can you make it a round number?,"Okay, I can reduce a little for you.",Negative,Accepted
NEG0188,Plumbing,7031.0,3941.0,3941.0,43.95,Can you please lower the price a bit?,"Price firm, can’t reduce further.",Negative,Accepted
NEG0189,Bed,5060.0,4019.0,4019.0,20.57,"If I pay in cash, can I get a discount?","Sorry, the price is already discounted.",Negative,Accepted
NEG0190,Watch,3900.0,2905.0,2905.0,25.51,"If I pay in cash, can I get a discount?",This is the best price I can offer.,Positive,Accepted
NEG0191,Plumbing,1298.0,786.0,911.0,29.82,"I’m a regular customer, please give a better deal.","Alright, let’s meet halfway.",Neutral,Rejected
NEG0192,Belt,4994.0,3229.0,3229.0,35.34,Can you make it a round number?,"If you buy more, I can give a small discount.",Neutral,Accepted
NEG0193,Tutoring,1995.0,1585.0,1602.0,19.7,"Your price seems high, can we settle in between?","If you buy more, I can give a small discount.",Negative,Accepted
NEG0194,Jacket,7877.0,6511.0,7216.0,8.39,"That's too expensive, I can pay less.","Alright, let’s meet halfway.",Neutral,Rejected
NEG0195,Jacket,8228.0,4356.0,4356.0,47.06,"I’m a regular customer, please give a better deal.","Okay, I can reduce a little for you.",Negative,Accepted
NEG0196,Tutoring,6826.0,4451.0,5908.0,13.45,"If I pay in cash, can I get a discount?","Okay deal, I’ll accept that price.",Positive,Pending
NEG0197,Catering,4323.0,4062.0,4062.0,6.04,Is there any discount if I buy more?,"Sorry, the price is already discounted.",Neutral,Accepted
NEG0198,Chair,9771.0,4903.0,4903.0,49.82,Can you make it a round number?,This is the best price I can offer.,Positive,Accepted
NEG0199,Shoes,7237.0,6529.0,6529.0,9.78,Is there any discount if I buy more?,"Okay, I can reduce a little for you.",Negative,Accepted
NEG0200,Plumbing,2942.0,2202.0,2269.0,22.88,Is there any discount if I buy more?,"Alright, let’s meet halfway.",Positive,Rejected
NEG0201,Sofa,4819.0,4396.0,4714.0,2.18,"That's too expensive, I can pay less.","Okay deal, I’ll accept that price.",Positive,Pending
NEG0202,Jacket,4772.0,3112.0,4456.0,6.62,Can you please lower the price a bit?,This is the best price I can offer.,Neutral,Accepted
NEG0203,Sunglasses,1347.0,1202.0,1202.0,10.76,Can you make it a round number?,"If you buy more, I can give a small discount.",Negative,Accepted
